Domain;BL;DP;ABY;ACR;Alexa;Dmoz;C;N;O;D;Reg;RDT;Dropped;Status
fond-om.ru;0;0;-;0;0;-;available;available;available;available;1;1;Today14:18;available
gmrd.ru;0;0;-;0;0;-;registered;registered;registered;registered;11;46;Today14:18;available
ChildCam.ru;0;0;-;0;0;-;registered;registered;available;available;3;14;Today14:18;available
ResearchMaterials.ru;0;0;-;0;0;-;registered;available;available;available;3;5;Today14:18;available
voschod-music.ru;0;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
dalmacorporativ2020.ru;0;0;2019;3;0;-;available;available;available;available;1;-;Today14:18;available
mlksstgbz1.ru;0;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
posredniklira.ru;0;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
2912MuranOwe.ru;0;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
sovsembox.ru;0;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
lsdewyulis.ru;0;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
GranIt-Guard.ru;1;0;-;0;0;-;available;available;available;available;0;-;Today14:18;available
PoopsieUnicorn.ru;1;0;-;0;0;-;registered;available;available;available;2;2;Today14:18;available
regrekc.ru;1;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
SeoUpWebsite.ru;0;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
CompanyPumps.ru;0;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
PromMash39.ru;1;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
TheCafes.ru;0;0;-;0;0;-;registered;available;available;available;5;38;Today14:18;available
rutruck-spb.ru;2;0;2018;11;0;-;available;available;available;available;1;-;Today14:18;available
trikolor-tv-v-dmitrove.ru;0;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
anod-systems.ru;1;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
gknovostroy.ru;1;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
Moon-Sky.ru;0;0;-;0;0;-;registered;registered;available;available;4;8;Today14:18;available
MoorDesign.ru;0;0;-;0;0;-;registered;registered;available;available;7;16;Today14:18;available
Omsk-Home.ru;0;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
