Domain;BL;DP;ABY;ACR;Alexa;Dmoz;C;N;O;D;Reg;RDT;Dropped;Status
CertControl.ru;0;0;-;0;0;-;registered;available;available;registered;4;7;Today14:18;available
babushkinakuhnya.ru;1;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
autoexprt.ru;0;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
BonusBelt.ru;3;1;-;0;0;-;registered;available;available;available;2;2;Today14:18;available
Dogma-Consult.ru;8;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
DairyFreeForBaby.ru;0;0;-;0;0;-;registered;available;available;available;2;2;Today14:18;available
Cold21.ru;0;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
im-well.ru;0;0;-;0;0;-;registered;registered;available;available;5;11;Today14:18;available
Extreme-Marathon.ru;0;0;-;0;0;-;registered;available;available;available;2;-;Today14:18;available
wpravo.ru;104;2;2013;34;0;-;available;available;available;available;1;-;Today14:18;available
e-hot.ru;40;4;2012;113;0;-;registered;available;available;registered;8;175;Today14:18;available
Credit-School.ru;24;5;2013;16;0;-;registered;available;available;available;4;4;Today14:18;available
prognozist024.ru;1;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
Focus50.ru;1;0;-;0;0;-;registered;available;registered;available;6;19;Today14:18;available
shoopsgoods.ru;0;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
kworkrival.ru;1;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
PsyFigura.ru;1;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
RestNisi.ru;0;0;2017;9;0;-;available;available;available;available;1;-;Today14:18;available
alenaprazdnik.ru;1;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
ToKaren.ru;0;0;-;0;0;-;available;available;available;available;1;26;Today14:18;available
bcswi.ru;0;0;-;0;0;-;registered;available;available;available;2;27;Today14:18;available
Times72.ru;0;0;-;0;0;-;available;available;available;available;1;-;Today14:18;available
androidapk24.ru;0;0;-;0;0;-;available;available;available;available;2;-;Today14:18;available
Environ-Design.ru;0;0;-;0;0;-;registered;available;available;available;3;2;Today14:18;available
BlackCat31.ru;5;0;2019;11;0;-;available;available;available;available;1;-;Today14:18;available
